0.93	0.532204	-0.846616
0.935	0.997219	-0.0745251
0.94	0.648331	0.761358
0.945	-0.237323	0.971431
0.95	-0.928224	0.372022
0.955	-0.839837	-0.542838
0.96	-0.0369749	-0.999316
0.965	0.800433	-0.599423
0.97	0.946939	0.321412
0.975	0.265359	0.96415
0.98	-0.652913	0.757433
0.985	-0.992119	-0.125298
0.99	-0.439614	-0.898187
0.995	0.513991	-0.857795
